Industry,Type,Name,Link,Description
Accommodation & Food,Food,RobotChef,https://github.com/bschreck/robo-chef,Refining recipes based on user reviews.
Accommodation & Food,Food,Food Amenities,https://github.com/Ankushr785/Food-amenities-demand-prediction,Predicting the demand for food amenities using neural networks
Accommodation & Food,Food,Recipe Cuisine and Rating,https://github.com/catherhuang/FP3-recipe,Predict the rating and type of cuisine from a list of ingredients
Accommodation & Food,Food,Food Classification,https://github.com/stratospark/food-101-keras,Classification using Keras
Accommodation & Food,Food,Image to Recipe,https://github.com/Murgio/Food-Recipe-CNN,Translate an image to a recipe using deep learning
Accommodation & Food,Food,Calorie Estimation,https://github.com/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Estimate calories from photos of food
Accommodation & Food,Food,Fine Food Reviews,https://github.com/Architectshwet/Amazon-Fine-Food-Reviews,Sentiment analysis on Amazon Fine Food Reviews
Accommodation & Food,Food,Food2vex,https://github.com/altosaar/food2vec,"Food vectors, see a live demo on the repository's blog. "
Accommodation & Food,Food,Food Detection,https://github.com/gabrielilharco/snap-n-eat,Food detection and recommendation with deep learning
Accommodation & Food,Food,Food Detection Web App,https://github.com/npatta01/web-deep-learning-classifier,Deep Learning model to classify food (Web App)
Accommodation & Food,Food,Amazon Food Review,https://github.com/krpiyush5/Amazon-Fine-Food-Review,Machine learning algorithm for amazon fine food review
Accommodation & Food,Restaurant,Restaurant Violation,https://github.com/nd1/DC_RestaurantViolationForecasting,Food inspection violation forecasting
Accommodation & Food,Restaurant,Restaurant Success,https://github.com/alifier/Restaurant_success_model,Predict whether a restaurant is going to fail
Accommodation & Food,Restaurant,Predict Michelin,https://github.com/josephofiowa/dc-michelin-challenge,Predict the likelihood that restaurant is a Michelin restaurant
Accommodation & Food,Restaurant,Restaurant Inspection,https://github.com/gzsuyu/Data-Analysis-NYC-Restaurant-Inspection-Data,An inspection analysis to see if cleanliness is related to rating
Accommodation & Food,Restaurant,Sales,https://github.com/gzsuyu/Data-Analysis-NYC-Restaurant-Inspection-Data,Restaurant sales forecasting with LTSM
Accommodation & Food,Restaurant,Visitor Forecasting,https://github.com/anki1909/Recruit-Restaurant-Visitor-Forecasting,Reservation and visitation number prediction
Accommodation & Food,Restaurant,Restaurant Profit,https://github.com/everAspiring/RegressionAnalysis,Restaurant regression analysis
