Row,Industry,Type,Name,Link,Description,Duplicate,Base_URL
0,Accommodation & Food,Food,RobotChef,https://github.com/bschreck/robo-chef,Refining recipes based on user reviews.,False,https://github.com/bschreck/robo-chef
1,Accommodation & Food,Food,Food Amenities,https://github.com/Ankushr785/Food-amenities-demand-prediction,Predicting the demand for food amenities using neural networks,False,https://github.com/Ankushr785/Food-amenities-demand-prediction
2,Accommodation & Food,Food,Recipe Cuisine and Rating,https://github.com/catherhuang/FP3-recipe,Predict the rating and type of cuisine from a list of ingredients,False,https://github.com/catherhuang/FP3-recipe
3,Accommodation & Food,Food,Food Classification,https://github.com/stratospark/food-101-keras,Classification using Keras,False,https://github.com/stratospark/food-101-keras
4,Accommodation & Food,Food,Image to Recipe,https://github.com/Murgio/Food-Recipe-CNN,Translate an image to a recipe using deep learning,False,https://github.com/Murgio/Food-Recipe-CNN
5,Accommodation & Food,Food,Calorie Estimation,https://github.com/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Estimate calories from photos of food,False,https://github.com/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation
6,Accommodation & Food,Food,Fine Food Reviews,https://github.com/Architectshwet/Amazon-Fine-Food-Reviews,Sentiment analysis on Amazon Fine Food Reviews,False,https://github.com/Architectshwet/Amazon-Fine-Food-Reviews
7,Accommodation & Food,Food,Food2vex,https://github.com/altosaar/food2vec,"Food vectors, see a live demo on the repository's blog. ",False,https://github.com/altosaar/food2vec
8,Accommodation & Food,Food,Food Detection,https://github.com/gabrielilharco/snap-n-eat,Food detection and recommendation with deep learning,False,https://github.com/gabrielilharco/snap-n-eat
9,Accommodation & Food,Food,Food Detection Web App,https://github.com/npatta01/web-deep-learning-classifier,Deep Learning model to classify food (Web App),False,https://github.com/npatta01/web-deep-learning-classifier
10,Accommodation & Food,Food,Amazon Food Review,https://github.com/krpiyush5/Amazon-Fine-Food-Review,Machine learning algorithm for amazon fine food review,False,https://github.com/krpiyush5/Amazon-Fine-Food-Review
11,Accommodation & Food,Restaurant,Restaurant Violation,https://github.com/nd1/DC_RestaurantViolationForecasting,Food inspection violation forecasting,False,https://github.com/nd1/DC_RestaurantViolationForecasting
12,Accommodation & Food,Restaurant,Restaurant Success,https://github.com/alifier/Restaurant_success_model,Predict whether a restaurant is going to fail,False,https://github.com/alifier/Restaurant_success_model
13,Accommodation & Food,Restaurant,Predict Michelin,https://github.com/josephofiowa/dc-michelin-challenge,Predict the likelihood that restaurant is a Michelin restaurant,False,https://github.com/josephofiowa/dc-michelin-challenge
14,Accommodation & Food,Restaurant,Restaurant Inspection,https://github.com/gzsuyu/Data-Analysis-NYC-Restaurant-Inspection-Data,An inspection analysis to see if cleanliness is related to rating,False,https://github.com/gzsuyu/Data-Analysis-NYC-Restaurant-Inspection-Data
15,Accommodation & Food,Restaurant,Sales,https://github.com/gzsuyu/Data-Analysis-NYC-Restaurant-Inspection-Data,Restaurant sales forecasting with LTSM,True,https://github.com/gzsuyu/Data-Analysis-NYC-Restaurant-Inspection-Data
16,Accommodation & Food,Restaurant,Visitor Forecasting,https://github.com/anki1909/Recruit-Restaurant-Visitor-Forecasting,Reservation and visitation number prediction,False,https://github.com/anki1909/Recruit-Restaurant-Visitor-Forecasting
17,Accommodation & Food,Restaurant,Restaurant Profit,https://github.com/everAspiring/RegressionAnalysis,Restaurant regression analysis,False,https://github.com/everAspiring/RegressionAnalysis
18,Accommodation & Food,Restaurant,Competition,https://github.com/klin90/missinglink,Restaurant competitiveness analysis,False,https://github.com/klin90/missinglink
19,Accommodation & Food,Restaurant,Business Analysis,https://github.com/nvodoor/RBA,Restaurant business analysis project,False,https://github.com/nvodoor/RBA
20,Accommodation & Food,Restaurant,Location Recommendation,https://github.com/sanatasy/Restaurant_Risk,Restaurant location recommendation tool and analysis,False,https://github.com/sanatasy/Restaurant_Risk
21,Accommodation & Food,Restaurant,"Closure, Rating and Recommendation",https://github.com/Lolonon/Restaurant-Analytical-Solution,Three prediction tasks using Yelp data,False,https://github.com/Lolonon/Restaurant-Analytical-Solution
22,Accommodation & Food,Restaurant,Anti-recommender,https://github.com/Myau5x/anti-recommender,Find restaurants you don’t want to attend,False,https://github.com/Myau5x/anti-recommender
23,Accommodation & Food,Restaurant,Menu Analysis,https://github.com/bzjin/menus,Deeper analysis of restaurants through their menus,False,https://github.com/bzjin/menus
